Date,direction_cardinal,Direction,Speed
"Thursday, 1 September 2022",ENE,22.5,19
"Friday, 2 September 2022",SE,315,26
"Saturday, 3 September 2022",S,270,31
"Sunday, 4 September 2022",SW,225,33
"Tuesday, 6 September 2022",E,0,24
"Thursday, 8 September 2022",NE,45,20
"Friday, 9 September 2022",NW,135,26
"Saturday, 10 September 2022",WNW,157.5,33
"Sunday, 11 September 2022",WSW,202.5,19
"Monday, 12 September 2022",W,180,22
"Tuesday, 13 September 2022",E,0,24
"Wednesday, 14 September 2022",E,0,22
"Thursday, 15 September 2022",N,90,28
"Friday, 16 September 2022",NNE,67.5,20
"Saturday, 17 September 2022",WNW,157.5,31
"Sunday, 18 September 2022",WNW,157.5,30
"Monday, 19 September 2022",ENE,22.5,20
"Tuesday, 20 September 2022",E,0,31
"Wednesday, 21 September 2022",E,0,26
"Thursday, 22 September 2022",SW,225,24
"Friday, 23 September 2022",WSW,202.5,22
"Saturday, 24 September 2022",WSW,202.5,30
"Sunday, 25 September 2022",E,0,20
"Monday, 26 September 2022",NNE,67.5,22
"Tuesday, 27 September 2022",NE,45,22
"Wednesday, 28 September 2022",W,180,20
"Thursday, 29 September 2022",W,180,28
"Friday, 30 September 2022",S,270,26
"Saturday, 1 October 2022",SE,315,31
"Sunday, 2 October 2022",E,0,17
"Monday, 3 October 2022",E,0,31
"Tuesday, 4 October 2022",ENE,22.5,24
"Wednesday, 5 October 2022",ENE,22.5,24
"Thursday, 6 October 2022",E,0,20
"Friday, 7 October 2022",ENE,22.5,26
"Saturday, 8 October 2022",NNE,67.5,28
"Sunday, 9 October 2022",SSE,292.5,30
"Monday, 10 October 2022",ESE,337.5,39
"Tuesday, 11 October 2022",ESE,337.5,31
"Wednesday, 12 October 2022",SSE,292.5,37
"Thursday, 13 October 2022",E,0,28
"Friday, 14 October 2022",NE,45,26
"Saturday, 15 October 2022",ENE,22.5,30
"Sunday, 16 October 2022",NE,45,22
"Monday, 17 October 2022",ENE,22.5,20
"Tuesday, 18 October 2022",NE,45,26
"Wednesday, 19 October 2022",NE,45,22
"Thursday, 20 October 2022",NNE,67.5,26
"Friday, 21 October 2022",ENE,22.5,31
"Saturday, 22 October 2022",ENE,22.5,28
"Sunday, 23 October 2022",SSE,292.5,26
"Monday, 24 October 2022",W,180,26
"Tuesday, 25 October 2022",SW,225,35
"Wednesday, 26 October 2022",WSW,202.5,30
"Thursday, 27 October 2022",NNE,67.5,26
"Friday, 28 October 2022",WNW,157.5,37
