Date,direction_cardinal,Direction,Speed
"Thursday, 1 September 2022",N,90,35
"Friday, 2 September 2022",S,270,41
"Saturday, 3 September 2022",SSE,292.5,41
"Sunday, 4 September 2022",ESE,337.5,35
"Monday, 5 September 2022",SSE,292.5,30
"Tuesday, 6 September 2022",E,0,39
"Wednesday, 7 September 2022",E,0,28
"Thursday, 8 September 2022",NE,45,39
"Friday, 9 September 2022",NNW,112.5,50
"Saturday, 10 September 2022",W,180,37
"Sunday, 11 September 2022",NNW,112.5,52
"Monday, 12 September 2022",E,0,35
"Tuesday, 13 September 2022",E,0,31
"Wednesday, 14 September 2022",NE,45,31
"Thursday, 15 September 2022",SW,225,15
"Friday, 16 September 2022",NW,135,54
"Saturday, 17 September 2022",NW,135,59
"Sunday, 18 September 2022",NW,135,63
"Monday, 19 September 2022",NW,135,50
"Tuesday, 20 September 2022",NNW,112.5,30
"Wednesday, 21 September 2022",NNE,67.5,33
"Thursday, 22 September 2022",ENE,22.5,39
"Friday, 23 September 2022",NNW,112.5,31
"Saturday, 24 September 2022",W,180,44
"Sunday, 25 September 2022",N,90,41
"Monday, 26 September 2022",NW,135,31
"Tuesday, 27 September 2022",WNW,157.5,50
"Wednesday, 28 September 2022",N,90,37
"Thursday, 29 September 2022",SSW,247.5,54
"Friday, 30 September 2022",ESE,337.5,41
"Saturday, 1 October 2022",E,0,31
"Sunday, 2 October 2022",E,0,31
"Monday, 3 October 2022",NW,135,31
"Tuesday, 4 October 2022",ESE,337.5,41
"Wednesday, 5 October 2022",E,0,33
"Thursday, 6 October 2022",ESE,337.5,24
"Friday, 7 October 2022",NE,45,26
"Saturday, 8 October 2022",NNW,112.5,30
"Sunday, 9 October 2022",S,270,39
"Monday, 10 October 2022",E,0,33
"Tuesday, 11 October 2022",ENE,22.5,31
"Wednesday, 12 October 2022",NE,45,33
"Thursday, 13 October 2022",ENE,22.5,37
"Friday, 14 October 2022",WNW,157.5,56
"Saturday, 15 October 2022",N,90,39
"Sunday, 16 October 2022",ESE,337.5,37
"Monday, 17 October 2022",NE,45,28
"Tuesday, 18 October 2022",NNE,67.5,24
"Wednesday, 19 October 2022",E,0,37
"Thursday, 20 October 2022",ESE,337.5,39
"Friday, 21 October 2022",NE,45,35
"Saturday, 22 October 2022",N,90,37
"Sunday, 23 October 2022",ESE,337.5,37
"Monday, 24 October 2022",ESE,337.5,41
"Tuesday, 25 October 2022",NNW,112.5,48
"Wednesday, 26 October 2022",W,180,59
"Thursday, 27 October 2022",W,180,63
"Friday, 28 October 2022",W,180,74
"Saturday, 29 October 2022",WNW,157.5,56
"Sunday, 30 October 2022",NNW,112.5,46
"Monday, 31 October 2022",N,90,80
"Tuesday, 1 November 2022",NNW,112.5,80
"Wednesday, 2 November 2022",WNW,157.5,52
"Thursday, 3 November 2022",W,180,41
"Friday, 4 November 2022",E,0,30
"Saturday, 5 November 2022",N,90,24
"Sunday, 6 November 2022",W,180,33
"Monday, 7 November 2022",SSW,247.5,48
"Tuesday, 8 November 2022",N,90,28
"Wednesday, 9 November 2022",E,0,35
"Thursday, 10 November 2022",NE,45,37
"Friday, 11 November 2022",NNW,112.5,35
"Saturday, 12 November 2022",E,0,50
"Sunday, 13 November 2022",NNW,112.5,50
"Monday, 14 November 2022",WNW,157.5,65
"Tuesday, 15 November 2022",NW,135,50
"Wednesday, 16 November 2022",WSW,202.5,48
"Thursday, 17 November 2022",S,270,35
"Friday, 18 November 2022",NNE,67.5,30
"Saturday, 19 November 2022",NW,135,39
"Sunday, 20 November 2022",WNW,157.5,70
"Monday, 21 November 2022",WNW,157.5,74
"Tuesday, 22 November 2022",N,90,45
"Wednesday, 23 November 2022",NW,135,50
"Thursday, 24 November 2022",NNW,112.5,48
"Friday, 25 November 2022",WNW,157.5,50
"Saturday, 26 November 2022",N,90,37
"Sunday, 27 November 2022",NW,135,56
"Monday, 28 November 2022",NW,135,57
"Tuesday, 29 November 2022",E,0,46
"Wednesday, 30 November 2022",E,0,35
"Thursday, 1 December 2022",ENE,22.5,35
"Friday, 2 December 2022",NE,45,35
"Saturday, 3 December 2022",E,0,30
"Sunday, 4 December 2022",NW,135,37
"Monday, 5 December 2022",NW,135,50
"Tuesday, 6 December 2022",NNW,112.5,39
"Wednesday, 7 December 2022",NW,135,50
"Thursday, 8 December 2022",W,180,48
"Friday, 9 December 2022",E,0,44
"Saturday, 10 December 2022",NNW,112.5,26
"Sunday, 11 December 2022",NNW,112.5,48
"Monday, 12 December 2022",W,180,72
"Tuesday, 13 December 2022",NW,135,48
"Wednesday, 14 December 2022",WNW,157.5,52
"Thursday, 15 December 2022",SSW,247.5,50
"Friday, 16 December 2022",S,270,50
"Saturday, 17 December 2022",SSW,247.5,41
"Sunday, 18 December 2022",SSE,292.5,50
"Monday, 19 December 2022",SSE,292.5,39
"Tuesday, 20 December 2022",ENE,22.5,35
"Wednesday, 21 December 2022",ENE,22.5,41
"Thursday, 22 December 2022",N,90,26
"Friday, 23 December 2022",NW,135,33
"Saturday, 24 December 2022",NW,135,41
"Sunday, 25 December 2022",W,180,35
"Monday, 26 December 2022",E,0,50
"Tuesday, 27 December 2022",NE,45,35
"Wednesday, 28 December 2022",WNW,157.5,50
"Thursday, 29 December 2022",N,90,31
"Friday, 30 December 2022",ENE,22.5,35
"Saturday, 31 December 2022",E,0,37
"Sunday, 1 January 2023",E,0,35
"Monday, 2 January 2023",WNW,157.5,43
"Tuesday, 3 January 2023",ESE,337.5,48
"Wednesday, 4 January 2023",ENE,22.5,46
"Thursday, 5 January 2023",S,270,44
"Friday, 6 January 2023",ESE,337.5,48
"Saturday, 7 January 2023",ENE,22.5,35
"Sunday, 8 January 2023",ENE,22.5,31
"Monday, 9 January 2023",SSW,247.5,43
"Tuesday, 10 January 2023",ENE,22.5,43
"Wednesday, 11 January 2023",ENE,22.5,39
"Thursday, 12 January 2023",E,0,44
"Friday, 13 January 2023",E,0,41
"Saturday, 14 January 2023",N,90,35
"Sunday, 15 January 2023",SSE,292.5,93
"Monday, 16 January 2023",ENE,22.5,33
"Tuesday, 17 January 2023",NE,45,28
"Wednesday, 18 January 2023",W,180,50
"Thursday, 19 January 2023",ENE,22.5,41
"Friday, 20 January 2023",ENE,22.5,41
"Saturday, 21 January 2023",ENE,22.5,39
"Sunday, 22 January 2023",ENE,22.5,50
"Monday, 23 January 2023",S,270,52
"Tuesday, 24 January 2023",W,180,39
"Wednesday, 25 January 2023",WNW,157.5,33
"Thursday, 26 January 2023",E,0,59
"Friday, 27 January 2023",ENE,22.5,35
"Saturday, 28 January 2023",WNW,157.5,41
"Sunday, 29 January 2023",N,90,24
"Monday, 30 January 2023",E,0,26
"Tuesday, 31 January 2023",E,0,30
"Wednesday, 1 February 2023",WNW,157.5,41
"Thursday, 2 February 2023",NNW,112.5,65
"Friday, 3 February 2023",NW,135,54
"Saturday, 4 February 2023",WNW,157.5,61
"Sunday, 5 February 2023",ENE,22.5,37
"Monday, 6 February 2023",E,0,41
"Tuesday, 7 February 2023",E,0,50
"Wednesday, 8 February 2023",ENE,22.5,37
"Thursday, 9 February 2023",E,0,44
"Friday, 10 February 2023",NW,135,37
"Saturday, 11 February 2023",WNW,157.5,54
"Sunday, 12 February 2023",ENE,22.5,44
"Monday, 13 February 2023",ESE,337.5,41
"Tuesday, 14 February 2023",ENE,22.5,37
"Wednesday, 15 February 2023",ENE,22.5,35
"Thursday, 16 February 2023",E,0,35
"Friday, 17 February 2023",S,270,39
"Saturday, 18 February 2023",NW,135,50
"Sunday, 19 February 2023",ENE,22.5,33
"Monday, 20 February 2023",ESE,337.5,35
"Tuesday, 21 February 2023",S,270,87
"Wednesday, 22 February 2023",ESE,337.5,46
"Thursday, 23 February 2023",E,0,35
"Friday, 24 February 2023",NE,45,30
"Saturday, 25 February 2023",N,90,28
"Sunday, 26 February 2023",NW,135,59
"Monday, 27 February 2023",E,0,43
"Tuesday, 28 February 2023",WNW,157.5,31
"Wednesday, 1 March 2023",E,0,39
"Thursday, 2 March 2023",E,0,35
"Friday, 3 March 2023",E,0,44
"Saturday, 4 March 2023",NNE,67.5,35
"Sunday, 5 March 2023",NW,135,52
"Monday, 6 March 2023",NW,135,52
"Tuesday, 7 March 2023",NNW,112.5,67
"Wednesday, 8 March 2023",WNW,157.5,50
"Thursday, 9 March 2023",WNW,157.5,37
"Friday, 10 March 2023",E,0,31
"Saturday, 11 March 2023",NW,135,50
"Sunday, 12 March 2023",E,0,41
"Monday, 13 March 2023",ESE,337.5,39
"Tuesday, 14 March 2023",NE,45,33
"Wednesday, 15 March 2023",WNW,157.5,41
"Thursday, 16 March 2023",NNW,112.5,59
"Friday, 17 March 2023",NNW,112.5,46
"Saturday, 18 March 2023",NNW,112.5,50
"Sunday, 19 March 2023",NNW,112.5,43
"Monday, 20 March 2023",ESE,337.5,39
"Tuesday, 21 March 2023",ENE,22.5,35
"Wednesday, 22 March 2023",NW,135,33
"Thursday, 23 March 2023",NNW,112.5,33
"Friday, 24 March 2023",E,0,39
"Saturday, 25 March 2023",E,0,41
"Sunday, 26 March 2023",NE,45,20
"Monday, 27 March 2023",WNW,157.5,39
"Tuesday, 28 March 2023",NNW,112.5,41
"Wednesday, 29 March 2023",WNW,157.5,50
"Thursday, 30 March 2023",W,180,50
"Friday, 31 March 2023",WNW,157.5,46
"Saturday, 1 April 2023",E,0,30
"Sunday, 2 April 2023",ENE,22.5,28
"Monday, 3 April 2023",ENE,22.5,24
"Tuesday, 4 April 2023",SSE,292.5,30
"Wednesday, 5 April 2023",ENE,22.5,26
"Thursday, 6 April 2023",NE,45,20
"Friday, 7 April 2023",W,180,57
"Saturday, 8 April 2023",WNW,157.5,52
"Sunday, 9 April 2023",WNW,157.5,52
"Monday, 10 April 2023",N,90,35
"Tuesday, 11 April 2023",SSW,247.5,41
"Wednesday, 12 April 2023",NNW,112.5,33
"Thursday, 13 April 2023",S,270,41
"Friday, 14 April 2023",SSW,247.5,28
"Saturday, 15 April 2023",NNW,112.5,37
"Sunday, 16 April 2023",WNW,157.5,56
"Monday, 17 April 2023",WNW,157.5,15
"Tuesday, 18 April 2023",E,0,24
"Wednesday, 19 April 2023",E,0,30
"Thursday, 20 April 2023",E,0,24
"Friday, 21 April 2023",ESE,337.5,15
"Saturday, 22 April 2023",W,180,26
"Sunday, 23 April 2023",ENE,22.5,30
"Monday, 24 April 2023",ENE,22.5,28
"Tuesday, 25 April 2023",ENE,22.5,20
"Wednesday, 26 April 2023",NNE,67.5,24
"Thursday, 27 April 2023",NW,135,43
"Friday, 28 April 2023",NW,135,46
"Saturday, 29 April 2023",NNW,112.5,30
"Sunday, 30 April 2023",SSW,247.5,41
"Monday, 1 May 2023",NW,135,30
"Tuesday, 2 May 2023",WNW,157.5,48
"Wednesday, 3 May 2023",NW,135,78
"Thursday, 4 May 2023",WNW,157.5,24
"Friday, 5 May 2023",NNW,112.5,37
"Saturday, 6 May 2023",NNW,112.5,33
"Sunday, 7 May 2023",SW,225,37
"Monday, 8 May 2023",S,270,61
"Tuesday, 9 May 2023",S,270,33
"Wednesday, 10 May 2023",S,270,31
"Thursday, 11 May 2023",N,90,24
"Friday, 12 May 2023",NW,135,22
"Saturday, 13 May 2023",NE,45,20
"Sunday, 14 May 2023",SE,315,17
"Monday, 15 May 2023",SE,315,17
"Tuesday, 16 May 2023",S,270,35
"Wednesday, 17 May 2023",S,270,46
"Thursday, 18 May 2023",SSW,247.5,28
"Friday, 19 May 2023",NW,135,31
"Saturday, 20 May 2023",WNW,157.5,43
"Sunday, 21 May 2023",WNW,157.5,50
"Monday, 22 May 2023",NNW,112.5,26
"Tuesday, 23 May 2023",SSE,292.5,15
"Wednesday, 24 May 2023",NNW,112.5,22
"Thursday, 25 May 2023",NW,135,52
"Friday, 26 May 2023",S,270,41
"Saturday, 27 May 2023",WNW,157.5,39
"Sunday, 28 May 2023",NW,135,41
"Monday, 29 May 2023",WNW,157.5,56
"Tuesday, 30 May 2023",N,90,50
"Wednesday, 31 May 2023",NNW,112.5,39
"Thursday, 1 June 2023",WNW,157.5,44
"Friday, 2 June 2023",NW,135,26
"Saturday, 3 June 2023",SSW,247.5,30
"Sunday, 4 June 2023",ENE,22.5,31
"Monday, 5 June 2023",N,90,50
"Tuesday, 6 June 2023",E,0,13
"Wednesday, 7 June 2023",WNW,157.5,17
"Thursday, 8 June 2023",NNW,112.5,57
"Friday, 9 June 2023",W,180,59
"Saturday, 10 June 2023",N,90,30
"Sunday, 11 June 2023",ESE,337.5,17
"Monday, 12 June 2023",NNW,112.5,31
"Tuesday, 13 June 2023",W,180,74
"Wednesday, 14 June 2023",WNW,157.5,52
"Thursday, 15 June 2023",WNW,157.5,39
"Friday, 16 June 2023",NW,135,31
"Saturday, 17 June 2023",NW,135,43
"Sunday, 18 June 2023",W,180,50
"Monday, 19 June 2023",NNW,112.5,56
"Tuesday, 20 June 2023",NNW,112.5,28
"Wednesday, 21 June 2023",SE,315,15
"Thursday, 22 June 2023",NNW,112.5,17
"Friday, 23 June 2023",NNW,112.5,56
"Saturday, 24 June 2023",NW,135,50
"Sunday, 25 June 2023",NW,135,61
"Monday, 26 June 2023",WNW,157.5,61
"Tuesday, 27 June 2023",NW,135,39
"Wednesday, 28 June 2023",NNW,112.5,28
"Thursday, 29 June 2023",WNW,157.5,43
"Friday, 30 June 2023",NW,135,54
"Saturday, 1 July 2023",NNW,112.5,37
"Sunday, 2 July 2023",SSW,247.5,17
"Monday, 3 July 2023",SE,315,15
"Tuesday, 4 July 2023",N,90,15
"Wednesday, 5 July 2023",NW,135,41
"Thursday, 6 July 2023",N,90,46
"Friday, 7 July 2023",NW,135,50
"Saturday, 8 July 2023",NW,135,61
"Sunday, 9 July 2023",NW,135,50
"Monday, 10 July 2023",WNW,157.5,44
"Tuesday, 11 July 2023",NW,135,44
"Wednesday, 12 July 2023",N,90,33
"Thursday, 13 July 2023",NNW,112.5,30
"Friday, 14 July 2023",WNW,157.5,48
"Saturday, 15 July 2023",NW,135,57
"Sunday, 16 July 2023",N,90,19
"Monday, 17 July 2023",NNW,112.5,22
"Tuesday, 18 July 2023",WNW,157.5,50
"Wednesday, 19 July 2023",NW,135,22
"Thursday, 20 July 2023",NNW,112.5,50
"Friday, 21 July 2023",NW,135,33
"Saturday, 22 July 2023",N,90,28
"Sunday, 23 July 2023",WSW,202.5,20
"Monday, 24 July 2023",NW,135,24
"Tuesday, 25 July 2023",WSW,202.5,17
"Wednesday, 26 July 2023",NW,135,30
"Thursday, 27 July 2023",NNW,112.5,31
"Friday, 28 July 2023",NW,135,44
"Saturday, 29 July 2023",NW,135,37
"Sunday, 30 July 2023",NNW,112.5,50
"Monday, 31 July 2023",NNW,112.5,50
"Tuesday, 1 August 2023",NNW,112.5,33
"Wednesday, 2 August 2023",W,180,15
"Thursday, 3 August 2023",NNW,112.5,41
"Friday, 4 August 2023",NW,135,50
"Saturday, 5 August 2023",N,90,31
"Sunday, 6 August 2023",NE,45,19
"Monday, 7 August 2023",SE,315,24
"Tuesday, 8 August 2023",N,90,19
"Wednesday, 9 August 2023",NNW,112.5,46
"Thursday, 10 August 2023",WNW,157.5,61
"Friday, 11 August 2023",NNW,112.5,35
"Saturday, 12 August 2023",W,180,35
"Sunday, 13 August 2023",NNW,112.5,19
"Monday, 14 August 2023",ESE,337.5,19
"Tuesday, 15 August 2023",E,0,20
"Wednesday, 16 August 2023",WNW,157.5,31
"Thursday, 17 August 2023",NNW,112.5,35
"Friday, 18 August 2023",WNW,157.5,59
"Saturday, 19 August 2023",NW,135,52
"Sunday, 20 August 2023",N,90,35
"Monday, 21 August 2023",NNW,112.5,26
"Tuesday, 22 August 2023",W,180,59
"Wednesday, 23 August 2023",N,90,30
"Thursday, 24 August 2023",NNW,112.5,30
"Friday, 25 August 2023",NNW,112.5,26
"Saturday, 26 August 2023",ENE,22.5,28
"Sunday, 27 August 2023",WNW,157.5,33
"Monday, 28 August 2023",SSW,247.5,30
"Tuesday, 29 August 2023",NW,135,37
"Wednesday, 30 August 2023",NW,135,39
"Thursday, 31 August 2023",NNW,112.5,41
