Date,direction_cardinal,Direction,Speed
"Thursday, 1 September 2022",NW,135,31
"Friday, 2 September 2022",NW,135,30
"Saturday, 3 September 2022",SSE,292.5,31
"Sunday, 4 September 2022",E,0,30
"Monday, 5 September 2022",NW,135,31
"Tuesday, 6 September 2022",NW,135,37
"Wednesday, 7 September 2022",WNW,157.5,30
"Thursday, 8 September 2022",WNW,157.5,33
"Friday, 9 September 2022",NW,135,31
"Saturday, 10 September 2022",NW,135,28
"Sunday, 11 September 2022",WNW,157.5,30
"Monday, 12 September 2022",NW,135,30
"Tuesday, 13 September 2022",NW,135,31
"Wednesday, 14 September 2022",NE,45,35
"Thursday, 15 September 2022",NNE,67.5,35
"Friday, 16 September 2022",WNW,157.5,31
"Saturday, 17 September 2022",NW,135,30
"Sunday, 18 September 2022",NW,135,30
"Monday, 19 September 2022",NNE,67.5,35
"Tuesday, 20 September 2022",N,90,31
"Wednesday, 21 September 2022",NNE,67.5,43
"Thursday, 22 September 2022",NE,45,56
"Friday, 23 September 2022",NNW,112.5,31
"Saturday, 24 September 2022",NW,135,28
"Sunday, 25 September 2022",NW,135,37
"Monday, 26 September 2022",N,90,37
"Tuesday, 27 September 2022",NW,135,30
"Wednesday, 28 September 2022",E,0,57
"Thursday, 29 September 2022",ENE,22.5,41
"Friday, 30 September 2022",ENE,22.5,41
"Saturday, 1 October 2022",NNE,67.5,37
"Sunday, 2 October 2022",NNW,112.5,33
"Monday, 3 October 2022",WNW,157.5,28
"Tuesday, 4 October 2022",E,0,33
"Wednesday, 5 October 2022",N,90,37
"Thursday, 6 October 2022",NNE,67.5,37
"Friday, 7 October 2022",NW,135,28
"Saturday, 8 October 2022",SE,315,137
"Sunday, 9 October 2022",S,270,37
"Monday, 10 October 2022",ESE,337.5,31
"Tuesday, 11 October 2022",NW,135,31
"Wednesday, 12 October 2022",WNW,157.5,35
"Thursday, 13 October 2022",WNW,157.5,28
"Friday, 14 October 2022",NNW,112.5,28
"Saturday, 15 October 2022",NNE,67.5,43
"Sunday, 16 October 2022",SSE,292.5,41
"Monday, 17 October 2022",N,90,39
"Tuesday, 18 October 2022",SE,315,50
"Wednesday, 19 October 2022",NE,45,33
"Thursday, 20 October 2022",ESE,337.5,35
"Friday, 21 October 2022",WNW,157.5,35
"Saturday, 22 October 2022",NW,135,39
"Sunday, 23 October 2022",WNW,157.5,41
"Monday, 24 October 2022",WNW,157.5,41
"Tuesday, 25 October 2022",NW,135,37
"Wednesday, 26 October 2022",NW,135,37
"Thursday, 27 October 2022",NW,135,33
"Friday, 28 October 2022",NW,135,26
"Saturday, 29 October 2022",NNW,112.5,39
"Sunday, 30 October 2022",NW,135,31
"Monday, 31 October 2022",WNW,157.5,30
"Tuesday, 1 November 2022",NW,135,35
"Wednesday, 2 November 2022",WNW,157.5,41
"Thursday, 3 November 2022",ENE,22.5,41
"Friday, 4 November 2022",N,90,39
"Saturday, 5 November 2022",ESE,337.5,65
"Sunday, 6 November 2022",SE,315,65
"Monday, 7 November 2022",NW,135,37
"Tuesday, 8 November 2022",NW,135,41
"Wednesday, 9 November 2022",NW,135,31
"Thursday, 10 November 2022",ESE,337.5,41
"Friday, 11 November 2022",E,0,52
"Saturday, 12 November 2022",N,90,33
"Sunday, 13 November 2022",N,90,33
"Monday, 14 November 2022",WNW,157.5,37
"Tuesday, 15 November 2022",SSW,247.5,39
"Wednesday, 16 November 2022",SE,315,41
"Thursday, 17 November 2022",E,0,44
"Friday, 18 November 2022",NE,45,33
"Saturday, 19 November 2022",N,90,41
"Sunday, 20 November 2022",NW,135,31
"Monday, 21 November 2022",NW,135,43
"Tuesday, 22 November 2022",NE,45,63
"Wednesday, 23 November 2022",NNW,112.5,39
"Thursday, 24 November 2022",NW,135,30
"Friday, 25 November 2022",ENE,22.5,41
"Saturday, 26 November 2022",SW,225,41
"Sunday, 27 November 2022",N,90,48
