Date,direction_cardinal,Direction,Speed
"Thursday, 1 September 2022",NNW,112.5,41
"Friday, 2 September 2022",W,180,50
"Saturday, 3 September 2022",SW,225,35
"Sunday, 4 September 2022",SSE,292.5,30
"Monday, 5 September 2022",S,270,41
"Tuesday, 6 September 2022",NNW,112.5,20
"Wednesday, 7 September 2022",NE,45,35
"Thursday, 8 September 2022",ENE,22.5,33
"Friday, 9 September 2022",NNE,67.5,33
"Saturday, 10 September 2022",W,180,39
"Sunday, 11 September 2022",NW,135,59
"Monday, 12 September 2022",W,180,61
"Tuesday, 13 September 2022",SW,225,31
"Wednesday, 14 September 2022",NNW,112.5,41
"Thursday, 15 September 2022",NNW,112.5,35
"Friday, 16 September 2022",NNE,67.5,22
"Saturday, 17 September 2022",NNW,112.5,54
"Sunday, 18 September 2022",NNW,112.5,50
"Monday, 19 September 2022",NW,135,39
"Tuesday, 20 September 2022",NNW,112.5,37
"Wednesday, 21 September 2022",NNW,112.5,50
"Thursday, 22 September 2022",NNW,112.5,30
"Friday, 23 September 2022",SSW,247.5,50
"Saturday, 24 September 2022",SSW,247.5,50
"Sunday, 25 September 2022",N,90,33
"Monday, 26 September 2022",NW,135,35
"Tuesday, 27 September 2022",SW,225,20
"Thursday, 29 September 2022",S,270,44
"Friday, 30 September 2022",E,0,26
"Saturday, 1 October 2022",NW,135,28
"Sunday, 2 October 2022",WNW,157.5,50
"Monday, 3 October 2022",SE,315,39
"Tuesday, 4 October 2022",SSE,292.5,54
"Wednesday, 5 October 2022",E,0,35
"Thursday, 6 October 2022",NE,45,50
"Friday, 7 October 2022",NW,135,41
"Saturday, 8 October 2022",SW,225,56
"Sunday, 9 October 2022",SE,315,30
"Monday, 10 October 2022",NE,45,33
"Tuesday, 11 October 2022",NE,45,37
"Wednesday, 12 October 2022",NNE,67.5,44
"Thursday, 13 October 2022",N,90,56
"Friday, 14 October 2022",NNW,112.5,52
"Saturday, 15 October 2022",SW,225,57
"Sunday, 16 October 2022",NNW,112.5,46
"Monday, 17 October 2022",NW,135,56
"Tuesday, 18 October 2022",NW,135,46
"Wednesday, 19 October 2022",NW,135,39
"Thursday, 20 October 2022",SE,315,35
"Friday, 21 October 2022",NW,135,46
"Saturday, 22 October 2022",S,270,50
"Sunday, 23 October 2022",SSW,247.5,52
"Monday, 24 October 2022",E,0,44
"Tuesday, 25 October 2022",SSE,292.5,30
"Wednesday, 26 October 2022",S,270,57
"Thursday, 27 October 2022",S,270,30
"Friday, 28 October 2022",S,270,35
"Saturday, 29 October 2022",SSW,247.5,54
"Sunday, 30 October 2022",N,90,41
"Monday, 31 October 2022",WNW,157.5,91
"Tuesday, 1 November 2022",SSW,247.5,48
"Wednesday, 2 November 2022",SW,225,54
"Thursday, 3 November 2022",SSW,247.5,54
"Friday, 4 November 2022",SE,315,37
"Saturday, 5 November 2022",SE,315,35
"Sunday, 6 November 2022",NW,135,41
"Monday, 7 November 2022",SSE,292.5,33
"Tuesday, 8 November 2022",NNW,112.5,31
"Wednesday, 9 November 2022",N,90,31
"Thursday, 10 November 2022",NNW,112.5,67
"Friday, 11 November 2022",ESE,337.5,43
"Saturday, 12 November 2022",SSW,247.5,41
"Sunday, 13 November 2022",E,0,26
"Monday, 14 November 2022",SW,225,57
"Tuesday, 15 November 2022",SSW,247.5,61
"Wednesday, 16 November 2022",SW,225,52
"Thursday, 17 November 2022",SE,315,39
"Friday, 18 November 2022",ESE,337.5,28
"Saturday, 19 November 2022",N,90,50
"Sunday, 20 November 2022",NW,135,57
"Monday, 21 November 2022",WSW,202.5,63
"Tuesday, 22 November 2022",WSW,202.5,102
"Wednesday, 23 November 2022",WSW,202.5,91
"Thursday, 24 November 2022",NW,135,39
"Friday, 25 November 2022",SW,225,39
"Saturday, 26 November 2022",NNW,112.5,31
"Sunday, 27 November 2022",SW,225,52
"Monday, 28 November 2022",WNW,157.5,57
"Tuesday, 29 November 2022",W,180,52
"Wednesday, 30 November 2022",NW,135,65
"Thursday, 1 December 2022",SW,225,39
"Friday, 2 December 2022",S,270,30
"Saturday, 3 December 2022",NNW,112.5,44
"Sunday, 4 December 2022",S,270,33
"Monday, 5 December 2022",S,270,70
"Tuesday, 6 December 2022",SSE,292.5,44
"Wednesday, 7 December 2022",S,270,46
"Thursday, 8 December 2022",WSW,202.5,59
"Friday, 9 December 2022",SSW,247.5,43
"Saturday, 10 December 2022",SE,315,30
"Sunday, 11 December 2022",NNW,112.5,43
"Monday, 12 December 2022",SW,225,52
"Tuesday, 13 December 2022",NW,135,54
"Wednesday, 14 December 2022",SSW,247.5,61
"Thursday, 15 December 2022",SSW,247.5,48
"Friday, 16 December 2022",SSW,247.5,44
"Saturday, 17 December 2022",SSE,292.5,44
"Sunday, 18 December 2022",ESE,337.5,35
"Monday, 19 December 2022",SE,315,41
"Tuesday, 20 December 2022",ESE,337.5,28
"Wednesday, 21 December 2022",ESE,337.5,35
"Thursday, 22 December 2022",NNW,112.5,35
"Friday, 23 December 2022",SSW,247.5,30
"Saturday, 24 December 2022",NW,135,52
