month,year,city,max_temperature,min_temperature,,,,,,,,,,,,,,,,,,,
January,2014,Melbourne,27.3,16.5,,,,,,,,,,,,,,,,,,,
January,2015,Melbourne,25.9,15.9,,,,,,,,,,,,,,,,,,,
January,2016,Melbourne,26,16.7,,,,,,,,,,,,,,,,,,,
January,2017,Melbourne,26.5,16.4,,,,,,,,,,,,,,,,,,,
January,2018,Melbourne,27.2,17.3,,,,,,,,,,,,,,,,,,,
January,2019,Melbourne,28.4,17.5,,,,,,,,,,,,,,,,,,,
January,2020,Melbourne,26.9,15.1,,,,,,,,,,,,,,,,,,,
January,2021,Melbourne,25.2,15.4,,,,,,,,,,,,,,,,,,,
January,2022,Melbourne,29.1,18.3,,,,,,,,,,,,,,,,,,,
February,2014,Melbourne,27.1,16.3,,,,,,,,,,,,,,,,,,,
February,2015,Melbourne,26.4,16.7,,,,,,,,,,,,,,,,,,,
February,2016,Melbourne,25.1,16.5,,,,,,,,,,,,,,,,,,,
February,2017,Melbourne,25.9,14.8,,,,,,,,,,,,,,,,,,,
February,2018,Melbourne,27,16.6,,,,,,,,,,,,,,,,,,,
February,2019,Melbourne,26,15.8,,,,,,,,,,,,,,,,,,,
February,2020,Melbourne,24.4,15.9,,,,,,,,,,,,,,,,,,,
February,2021,Melbourne,24.5,14.9,,,,,,,,,,,,,,,,,,,
February,2022,Melbourne,25.1,15.9,,,,,,,,,,,,,,,,,,,
March,2014,Melbourne,24.4,14.8,,,,,,,,,,,,,,,,,,,
March,2015,Melbourne,22.7,13.1,,,,,,,,,,,,,,,,,,,
March,2016,Melbourne,24.9,15.8,,,,,,,,,,,,,,,,,,,
March,2017,Melbourne,26.9,16.4,,,,,,,,,,,,,,,,,,,
March,2018,Melbourne,24.9,14.6,,,,,,,,,,,,,,,,,,,
March,2019,Melbourne,24.8,15.2,,,,,,,,,,,,,,,,,,,
March,2020,Melbourne,22.9,13.9,,,,,,,,,,,,,,,,,,,
March,2021,Melbourne,22,13.6,,,,,,,,,,,,,,,,,,,
March,2022,Melbourne,24.3,15.7,,,,,,,,,,,,,,,,,,,
April,2014,Melbourne,20.6,12.9,,,,,,,,,,,,,,,,,,,
April,2015,Melbourne,19.2,10.6,,,,,,,,,,,,,,,,,,,
April,2016,Melbourne,22.4,13,,,,,,,,,,,,,,,,,,,
April,2017,Melbourne,20.8,12.3,,,,,,,,,,,,,,,,,,,
April,2018,Melbourne,21.8,12.3,,,,,,,,,,,,,,,,,,,
April,2019,Melbourne,22,12,,,,,,,,,,,,,,,,,,,
April,2020,Melbourne,19.3,11.6,,,,,,,,,,,,,,,,,,,
April,2021,Melbourne,20.2,11.9,,,,,,,,,,,,,,,,,,,
April,2022,Melbourne,21.1,12.9,,,,,,,,,,,,,,,,,,,
May,2014,Melbourne,19,11,,,,,,,,,,,,,,,,,,,
May,2015,Melbourne,17.1,9.8,,,,,,,,,,,,,,,,,,,
May,2016,Melbourne,18.6,11.4,,,,,,,,,,,,,,,,,,,
May,2017,Melbourne,17.2,9.2,,,,,,,,,,,,,,,,,,,
May,2018,Melbourne,17.6,10.5,,,,,,,,,,,,,,,,,,,
May,2019,Melbourne,17.8,10.6,,,,,,,,,,,,,,,,,,,
May,2020,Melbourne,16.4,8.7,,,,,,,,,,,,,,,,,,,
May,2021,Melbourne,17.8,8.9,,,,,,,,,,,,,,,,,,,
May,2022,Melbourne,16.8,9.4,,,,,,,,,,,,,,,,,,,
June,2014,Melbourne,15.4,9.6,,,,,,,,,,,,,,,,,,,
June,2015,Melbourne,14.4,7.7,,,,,,,,,,,,,,,,,,,
