month,year,city,temp_value,metric,,,,,,,,,,,,,,,,,,,
January,2014,Melbourne,27.3,max_temperature,,,,,,,,,,,,,,,,,,,
January,2015,Melbourne,25.9,max_temperature,,,,,,,,,,,,,,,,,,,
January,2016,Melbourne,26,max_temperature,,,,,,,,,,,,,,,,,,,
January,2017,Melbourne,26.5,max_temperature,,,,,,,,,,,,,,,,,,,
January,2018,Melbourne,27.2,max_temperature,,,,,,,,,,,,,,,,,,,
January,2019,Melbourne,28.4,max_temperature,,,,,,,,,,,,,,,,,,,
January,2020,Melbourne,26.9,max_temperature,,,,,,,,,,,,,,,,,,,
January,2021,Melbourne,25.2,max_temperature,,,,,,,,,,,,,,,,,,,
January,2022,Melbourne,29.1,max_temperature,,,,,,,,,,,,,,,,,,,
February,2014,Melbourne,27.1,max_temperature,,,,,,,,,,,,,,,,,,,
February,2015,Melbourne,26.4,max_temperature,,,,,,,,,,,,,,,,,,,
February,2016,Melbourne,25.1,max_temperature,,,,,,,,,,,,,,,,,,,
February,2017,Melbourne,25.9,max_temperature,,,,,,,,,,,,,,,,,,,
February,2018,Melbourne,27,max_temperature,,,,,,,,,,,,,,,,,,,
February,2019,Melbourne,26,max_temperature,,,,,,,,,,,,,,,,,,,
February,2020,Melbourne,24.4,max_temperature,,,,,,,,,,,,,,,,,,,
February,2021,Melbourne,24.5,max_temperature,,,,,,,,,,,,,,,,,,,
February,2022,Melbourne,25.1,max_temperature,,,,,,,,,,,,,,,,,,,
March,2014,Melbourne,24.4,max_temperature,,,,,,,,,,,,,,,,,,,
March,2015,Melbourne,22.7,max_temperature,,,,,,,,,,,,,,,,,,,
March,2016,Melbourne,24.9,max_temperature,,,,,,,,,,,,,,,,,,,
March,2017,Melbourne,26.9,max_temperature,,,,,,,,,,,,,,,,,,,
March,2018,Melbourne,24.9,max_temperature,,,,,,,,,,,,,,,,,,,
March,2019,Melbourne,24.8,max_temperature,,,,,,,,,,,,,,,,,,,
March,2020,Melbourne,22.9,max_temperature,,,,,,,,,,,,,,,,,,,
March,2021,Melbourne,22,max_temperature,,,,,,,,,,,,,,,,,,,
March,2022,Melbourne,24.3,max_temperature,,,,,,,,,,,,,,,,,,,
April,2014,Melbourne,20.6,max_temperature,,,,,,,,,,,,,,,,,,,
April,2015,Melbourne,19.2,max_temperature,,,,,,,,,,,,,,,,,,,
April,2016,Melbourne,22.4,max_temperature,,,,,,,,,,,,,,,,,,,
April,2017,Melbourne,20.8,max_temperature,,,,,,,,,,,,,,,,,,,
April,2018,Melbourne,21.8,max_temperature,,,,,,,,,,,,,,,,,,,
April,2019,Melbourne,22,max_temperature,,,,,,,,,,,,,,,,,,,
April,2020,Melbourne,19.3,max_temperature,,,,,,,,,,,,,,,,,,,
April,2021,Melbourne,20.2,max_temperature,,,,,,,,,,,,,,,,,,,
April,2022,Melbourne,21.1,max_temperature,,,,,,,,,,,,,,,,,,,
May,2014,Melbourne,19,max_temperature,,,,,,,,,,,,,,,,,,,
May,2015,Melbourne,17.1,max_temperature,,,,,,,,,,,,,,,,,,,
May,2016,Melbourne,18.6,max_temperature,,,,,,,,,,,,,,,,,,,
May,2017,Melbourne,17.2,max_temperature,,,,,,,,,,,,,,,,,,,
May,2018,Melbourne,17.6,max_temperature,,,,,,,,,,,,,,,,,,,
May,2019,Melbourne,17.8,max_temperature,,,,,,,,,,,,,,,,,,,
May,2020,Melbourne,16.4,max_temperature,,,,,,,,,,,,,,,,,,,
May,2021,Melbourne,17.8,max_temperature,,,,,,,,,,,,,,,,,,,
May,2022,Melbourne,16.8,max_temperature,,,,,,,,,,,,,,,,,,,
June,2014,Melbourne,15.4,max_temperature,,,,,,,,,,,,,,,,,,,
June,2015,Melbourne,14.4,max_temperature,,,,,,,,,,,,,,,,,,,
June,2016,Melbourne,14.2,max_temperature,,,,,,,,,,,,,,,,,,,
June,2017,Melbourne,14.9,max_temperature,,,,,,,,,,,,,,,,,,,
June,2018,Melbourne,14.3,max_temperature,,,,,,,,,,,,,,,,,,,
June,2019,Melbourne,15.5,max_temperature,,,,,,,,,,,,,,,,,,,
June,2020,Melbourne,14.9,max_temperature,,,,,,,,,,,,,,,,,,,
June,2021,Melbourne,15.3,max_temperature,,,,,,,,,,,,,,,,,,,
June,2022,Melbourne,14.1,max_temperature,,,,,,,,,,,,,,,,,,,
July,2014,Melbourne,14.5,max_temperature,,,,,,,,,,,,,,,,,,,
July,2015,Melbourne,13.3,max_temperature,,,,,,,,,,,,,,,,,,,
July,2016,Melbourne,14.6,max_temperature,,,,,,,,,,,,,,,,,,,
July,2017,Melbourne,14.5,max_temperature,,,,,,,,,,,,,,,,,,,
July,2018,Melbourne,14.8,max_temperature,,,,,,,,,,,,,,,,,,,
July,2019,Melbourne,15,max_temperature,,,,,,,,,,,,,,,,,,,
July,2020,Melbourne,14,max_temperature,,,,,,,,,,,,,,,,,,,
July,2021,Melbourne,14.3,max_temperature,,,,,,,,,,,,,,,,,,,
July,2022,Melbourne,14,max_temperature,,,,,,,,,,,,,,,,,,,
August,2014,Melbourne,15.4,max_temperature,,,,,,,,,,,,,,,,,,,
August,2015,Melbourne,13.8,max_temperature,,,,,,,,,,,,,,,,,,,
August,2016,Melbourne,15.9,max_temperature,,,,,,,,,,,,,,,,,,,
August,2017,Melbourne,14.8,max_temperature,,,,,,,,,,,,,,,,,,,
August,2018,Melbourne,15.1,max_temperature,,,,,,,,,,,,,,,,,,,
August,2019,Melbourne,14.5,max_temperature,,,,,,,,,,,,,,,,,,,
August,2020,Melbourne,15.1,max_temperature,,,,,,,,,,,,,,,,,,,
August,2021,Melbourne,16.4,max_temperature,,,,,,,,,,,,,,,,,,,
August,2022,Melbourne,15.6,max_temperature,,,,,,,,,,,,,,,,,,,
September,2014,Melbourne,18.5,max_temperature,,,,,,,,,,,,,,,,,,,
September,2015,Melbourne,17.3,max_temperature,,,,,,,,,,,,,,,,,,,
September,2016,Melbourne,16.7,max_temperature,,,,,,,,,,,,,,,,,,,
September,2017,Melbourne,17.8,max_temperature,,,,,,,,,,,,,,,,,,,
September,2018,Melbourne,17.2,max_temperature,,,,,,,,,,,,,,,,,,,
September,2019,Melbourne,17.8,max_temperature,,,,,,,,,,,,,,,,,,,
September,2020,Melbourne,18.1,max_temperature,,,,,,,,,,,,,,,,,,,
September,2021,Melbourne,18.2,max_temperature,,,,,,,,,,,,,,,,,,,
September,2022,Melbourne,16.6,max_temperature,,,,,,,,,,,,,,,,,,,
October,2014,Melbourne,21.7,max_temperature,,,,,,,,,,,,,,,,,,,
October,2015,Melbourne,24.3,max_temperature,,,,,,,,,,,,,,,,,,,
October,2016,Melbourne,19.3,max_temperature,,,,,,,,,,,,,,,,,,,
October,2017,Melbourne,20.7,max_temperature,,,,,,,,,,,,,,,,,,,
October,2018,Melbourne,21.4,max_temperature,,,,,,,,,,,,,,,,,,,
October,2019,Melbourne,21.3,max_temperature,,,,,,,,,,,,,,,,,,,
October,2020,Melbourne,19.1,max_temperature,,,,,,,,,,,,,,,,,,,
October,2021,Melbourne,19.4,max_temperature,,,,,,,,,,,,,,,,,,,
October,2022,Melbourne,19.2,max_temperature,,,,,,,,,,,,,,,,,,,
November,2014,Melbourne,22.7,max_temperature,,,,,,,,,,,,,,,,,,,
November,2015,Melbourne,22.7,max_temperature,,,,,,,,,,,,,,,,,,,
November,2016,Melbourne,20.8,max_temperature,,,,,,,,,,,,,,,,,,,
November,2017,Melbourne,25.9,max_temperature,,,,,,,,,,,,,,,,,,,
November,2018,Melbourne,22,max_temperature,,,,,,,,,,,,,,,,,,,
November,2019,Melbourne,21.8,max_temperature,,,,,,,,,,,,,,,,,,,
November,2020,Melbourne,24.5,max_temperature,,,,,,,,,,,,,,,,,,,
November,2021,Melbourne,20.6,max_temperature,,,,,,,,,,,,,,,,,,,
November,2022,Melbourne,20.2,max_temperature,,,,,,,,,,,,,,,,,,,
December,2014,Melbourne,23.9,max_temperature,,,,,,,,,,,,,,,,,,,
December,2015,Melbourne,27.5,max_temperature,,,,,,,,,,,,,,,,,,,
December,2016,Melbourne,25.5,max_temperature,,,,,,,,,,,,,,,,,,,
December,2017,Melbourne,25,max_temperature,,,,,,,,,,,,,,,,,,,
December,2018,Melbourne,25.7,max_temperature,,,,,,,,,,,,,,,,,,,
December,2019,Melbourne,24.6,max_temperature,,,,,,,,,,,,,,,,,,,
December,2020,Melbourne,22.9,max_temperature,,,,,,,,,,,,,,,,,,,
December,2021,Melbourne,24.3,max_temperature,,,,,,,,,,,,,,,,,,,
December,2022,Melbourne,23.9,max_temperature,,,,,,,,,,,,,,,,,,,
January,2014,Sydney,27.9,max_temperature,,,,,,,,,,,,,,,,,,,
January,2015,Sydney,28.3,max_temperature,,,,,,,,,,,,,,,,,,,
January,2016,Sydney,27.9,max_temperature,,,,,,,,,,,,,,,,,,,
January,2017,Sydney,30.1,max_temperature,,,,,,,,,,,,,,,,,,,
January,2018,Sydney,29.2,max_temperature,,,,,,,,,,,,,,,,,,,
January,2019,Sydney,30.6,max_temperature,,,,,,,,,,,,,,,,,,,
January,2020,Sydney,29,max_temperature,,,,,,,,,,,,,,,,,,,
January,2021,Sydney,27.6,max_temperature,,,,,,,,,,,,,,,,,,,
January,2022,Sydney,27.5,max_temperature,,,,,,,,,,,,,,,,,,,
February,2014,Sydney,26.8,max_temperature,,,,,,,,,,,,,,,,,,,
February,2015,Sydney,27.4,max_temperature,,,,,,,,,,,,,,,,,,,
February,2016,Sydney,28.4,max_temperature,,,,,,,,,,,,,,,,,,,
February,2017,Sydney,29,max_temperature,,,,,,,,,,,,,,,,,,,
February,2018,Sydney,27.8,max_temperature,,,,,,,,,,,,,,,,,,,
February,2019,Sydney,28,max_temperature,,,,,,,,,,,,,,,,,,,
February,2020,Sydney,27.5,max_temperature,,,,,,,,,,,,,,,,,,,
February,2021,Sydney,25.9,max_temperature,,,,,,,,,,,,,,,,,,,
February,2022,Sydney,26.8,max_temperature,,,,,,,,,,,,,,,,,,,
March,2014,Sydney,26.8,max_temperature,,,,,,,,,,,,,,,,,,,
March,2015,Sydney,26.8,max_temperature,,,,,,,,,,,,,,,,,,,
March,2016,Sydney,27,max_temperature,,,,,,,,,,,,,,,,,,,
March,2017,Sydney,25.9,max_temperature,,,,,,,,,,,,,,,,,,,
March,2018,Sydney,27.3,max_temperature,,,,,,,,,,,,,,,,,,,
March,2019,Sydney,27.4,max_temperature,,,,,,,,,,,,,,,,,,,
March,2020,Sydney,25.5,max_temperature,,,,,,,,,,,,,,,,,,,
March,2021,Sydney,24.9,max_temperature,,,,,,,,,,,,,,,,,,,
March,2022,Sydney,24.4,max_temperature,,,,,,,,,,,,,,,,,,,
April,2014,Sydney,23.6,max_temperature,,,,,,,,,,,,,,,,,,,
April,2015,Sydney,22.6,max_temperature,,,,,,,,,,,,,,,,,,,
April,2016,Sydney,24.8,max_temperature,,,,,,,,,,,,,,,,,,,
April,2017,Sydney,23.5,max_temperature,,,,,,,,,,,,,,,,,,,
April,2018,Sydney,26.2,max_temperature,,,,,,,,,,,,,,,,,,,
April,2019,Sydney,24.8,max_temperature,,,,,,,,,,,,,,,,,,,
April,2020,Sydney,24.8,max_temperature,,,,,,,,,,,,,,,,,,,
April,2021,Sydney,23.8,max_temperature,,,,,,,,,,,,,,,,,,,
April,2022,Sydney,23.5,max_temperature,,,,,,,,,,,,,,,,,,,
May,2014,Sydney,22.6,max_temperature,,,,,,,,,,,,,,,,,,,
May,2015,Sydney,20.7,max_temperature,,,,,,,,,,,,,,,,,,,
May,2016,Sydney,23.4,max_temperature,,,,,,,,,,,,,,,,,,,
May,2017,Sydney,21.1,max_temperature,,,,,,,,,,,,,,,,,,,
May,2018,Sydney,21.8,max_temperature,,,,,,,,,,,,,,,,,,,
May,2019,Sydney,22.6,max_temperature,,,,,,,,,,,,,,,,,,,
May,2020,Sydney,20,max_temperature,,,,,,,,,,,,,,,,,,,
May,2021,Sydney,20.6,max_temperature,,,,,,,,,,,,,,,,,,,
May,2022,Sydney,21,max_temperature,,,,,,,,,,,,,,,,,,,
June,2014,Sydney,19.4,max_temperature,,,,,,,,,,,,,,,,,,,
June,2015,Sydney,18.4,max_temperature,,,,,,,,,,,,,,,,,,,
June,2016,Sydney,19.2,max_temperature,,,,,,,,,,,,,,,,,,,
June,2017,Sydney,18.1,max_temperature,,,,,,,,,,,,,,,,,,,
June,2018,Sydney,17.8,max_temperature,,,,,,,,,,,,,,,,,,,
June,2019,Sydney,18.2,max_temperature,,,,,,,,,,,,,,,,,,,
June,2020,Sydney,18.5,max_temperature,,,,,,,,,,,,,,,,,,,
June,2021,Sydney,18.1,max_temperature,,,,,,,,,,,,,,,,,,,
June,2022,Sydney,17.8,max_temperature,,,,,,,,,,,,,,,,,,,
July,2014,Sydney,18.8,max_temperature,,,,,,,,,,,,,,,,,,,
July,2015,Sydney,17.2,max_temperature,,,,,,,,,,,,,,,,,,,
July,2016,Sydney,19,max_temperature,,,,,,,,,,,,,,,,,,,
July,2017,Sydney,19.4,max_temperature,,,,,,,,,,,,,,,,,,,
July,2018,Sydney,20.4,max_temperature,,,,,,,,,,,,,,,,,,,
July,2019,Sydney,19.9,max_temperature,,,,,,,,,,,,,,,,,,,
July,2020,Sydney,17.7,max_temperature,,,,,,,,,,,,,,,,,,,
July,2021,Sydney,18.1,max_temperature,,,,,,,,,,,,,,,,,,,
July,2022,Sydney,17.1,max_temperature,,,,,,,,,,,,,,,,,,,
August,2014,Sydney,17.3,max_temperature,,,,,,,,,,,,,,,,,,,
August,2015,Sydney,19.5,max_temperature,,,,,,,,,,,,,,,,,,,
August,2016,Sydney,19.2,max_temperature,,,,,,,,,,,,,,,,,,,
August,2017,Sydney,19.4,max_temperature,,,,,,,,,,,,,,,,,,,
August,2018,Sydney,19.3,max_temperature,,,,,,,,,,,,,,,,,,,
August,2019,Sydney,19.3,max_temperature,,,,,,,,,,,,,,,,,,,
August,2020,Sydney,19.4,max_temperature,,,,,,,,,,,,,,,,,,,
August,2021,Sydney,20.4,max_temperature,,,,,,,,,,,,,,,,,,,
